"rent","size"
410.97,40
175.81,61
1113.78,140
314.74,59
551.55,57
773.69,70
487.61,40
762.35,68
486.4,50
400,34
1119.75,102
538.07,51
1153.77,120
300.42,27
564.01,98
637.03,91
562.43,67
496.15,65
261.98,54
926.93,91
393.2,66
565.09,85
613.56,74
592.96,53
458.82,81
279.35,35
800,80
563.96,76
389.77,38
1288.48,146
488.55,62
766.95,90
921.23,100
373.25,35
331.87,34
344.06,30
529.56,63
617.65,46
239.07,65
424.71,54
377.2,62
591.44,61
521.52,46
627.66,71
426.91,50
695.45,71
184.11,46
661.31,87
869.21,92
304.22,50
997,103
458.11,55
163.17,56
640,68
485.74,43
559.76,82
505.08,65
603.34,65
673.87,75
594.4,105
554.73,76
768.15,91
664.69,42
764.5,80
257.3,52
1022.6,80
1195.52,135
890.59,82
327.23,34
392.05,32
544.93,62
583.75,113
501.08,73
676.33,87
658.42,85
747.22,73
450.97,33
848.76,90
203.75,43
1094.18,90
521.52,66
592.84,50
271.11,49
855.03,73
272.96,66
602.69,68
700.47,70
486.06,83
777.19,95
603.33,70
448.42,74
509.28,72
789.96,74
390.26,60
956.13,105
769.76,63
753.29,69
664.69,78
923.67,84
556.89,82
